Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
2003;5;Fußball;Nachwuchsleistungszentrum;männlich;17;69.4;176;47.2;49.7;120;1.63;;4.07;1.73
2004;5;Fußball;Nachwuchsleistungszentrum;männlich;17;68.7;179;40;41.3;100;1.75;;4.18;1.46
2005;5;Fußball;Nachwuchsleistungszentrum;männlich;17;56.3;172;42.5;45.6;80;1.74;;4.16;1.42
2006;5;Fußball;Nachwuchsleistungszentrum;männlich;17;85;187;32.4;34.9;90;1.75;;4.2;1.06
2007;5;Fußball;Nachwuchsleistungszentrum;männlich;17;64.3;179;32.3;33.4;80;1.71;;4.23;1.24
2008;5;Fußball;Nachwuchsleistungszentrum;männlich;17;69.5;178;37.5;38.1;90;1.74;;4.17;1.29
2009;5;Fußball;Nachwuchsleistungszentrum;männlich;17;74;182;37;39.1;90;1.7;;4.19;1.22
2010;5;Fußball;Nachwuchsleistungszentrum;männlich;17;68.8;180;34.6;36.8;80;;;;1.16
2011;5;Fußball;Nachwuchsleistungszentrum;männlich;17;57.7;171;38.9;40.7;100;1.7;;4.19;1.73
2012;5;Fußball;Nachwuchsleistungszentrum;männlich;17;60.2;169;38.7;39.8;100;1.67;;3.98;1.66
2013;5;Fußball;Nachwuchsleistungszentrum;männlich;17;79.8;186;38.7;38.8;100;1.82;;4.37;1.25
2014;5;Fußball;Nachwuchsleistungszentrum;männlich;17;57.7;171;47.2;51.9;115;1.76;;4.11;1.99
2015;5;Fußball;Nachwuchsleistungszentrum;männlich;17;62.6;179;33.2;35;90;1.65;;4;1.44
2016;5;Fußball;Nachwuchsleistungszentrum;männlich;18;61.5;178;31.3;33.8;80;1.69;;3.96;1.3
2017;5;Fußball;Nachwuchsleistungszentrum;männlich;18;76;183;47.5;47;120;1.55;;3.7;1.58
2018;5;Fußball;Nachwuchsleistungszentrum;männlich;18;72.2;180;35.1;39.5;100;1.7;;4.11;1.39
2019;5;Fußball;Nachwuchsleistungszentrum;männlich;18;78.1;183;43.2;43.2;100;1.72;;4.05;1.28
2020;5;Fußball;Nachwuchsleistungszentrum;männlich;18;76.5;172;40.6;41.5;85;1.9;;4.44;1.11
2021;5;Fußball;Nachwuchsleistungszentrum;männlich;18;62.8;175;47.3;47.1;110;1.62;;4.08;1.75
2022;5;Fußball;Nachwuchsleistungszentrum;männlich;18;71.5;180;38.5;37.1;100;1.63;;4.02;1.4
2023;5;Fußball;Nachwuchsleistungszentrum;männlich;18;71.3;180;41.1;40.5;100;1.72;;4.2;1.4
2024;5;Fußball;Nachwuchsleistungszentrum;männlich;18;71.8;178;32.5;38.5;92;1.72;;4.19;1.28
2025;5;Fußball;Nachwuchsleistungszentrum;männlich;18;72.8;176;42.6;41.2;90;1.79;;4.25;1.24
2026;5;Fußball;Nachwuchsleistungszentrum;männlich;18;79;180;36;36.1;90;1.71;;4.31;1.14
2027;5;Fußball;Nachwuchsleistungszentrum;männlich;18;82.3;186;45.6;46.9;115;1.77;;4.19;1.4
2028;5;Fußball;Nachwuchsleistungszentrum;männlich;18;77.2;182;40.3;41.3;90;1.86;;4.31;1.17
2029;5;Fußball;Nachwuchsleistungszentrum;männlich;18;85.7;193;38;38.1;70;1.81;;4.44;0.82
2030;5;Fußball;Nachwuchsleistungszentrum;männlich;18;74.3;188;39.5;41;100;1.62;;4.07;1.35
2031;5;Fußball;Nachwuchsleistungszentrum;männlich;18;81.2;188;48.9;48.4;110;1.77;;4.13;1.35
2032;5;Fußball;Nachwuchsleistungszentrum;männlich;18;90;185;35.1;35.2;90;1.79;;4.36;1
2033;5;Fußball;Nachwuchsleistungszentrum;männlich;18;58.8;171;43.5;44.9;110;1.66;;4.02;1.87
2034;5;Fußball;Nachwuchsleistungszentrum;männlich;18;83.3;187;38.8;39.6;100;1.73;;4.22;1.2
2035;5;Fußball;Nachwuchsleistungszentrum;männlich;18;69.1;175;41.8;42.1;100;1.61;;3.93;1.45
2036;5;Fußball;Nachwuchsleistungszentrum;männlich;18;70.1;179;38.9;39.5;90;1.72;;4.11;1.28
2450;6;Fußball;Nachwuchsleistungszentrum;männlich;17;76.3;180;;;95;1.67;2.85;3.99;1.25
2451;6;Fußball;Nachwuchsleistungszentrum;männlich;17;70.1;186;33.4;34.2;95;1.62;2.85;4.05;1.36
2452;6;Fußball;Nachwuchsleistungszentrum;männlich;18;66.9;176;39;41.6;92.5;1.64;2.85;4.02;1.38
2453;6;Fußball;Nachwuchsleistungszentrum;männlich;17;64.2;181;33.9;40.1;85;1.66;2.92;4.14;1.32
2454;6;Fußball;Nachwuchsleistungszentrum;männlich;18;82.1;191;48.7;50;120;1.62;2.81;4;1.46
2455;6;Fußball;Nachwuchsleistungszentrum;männlich;18;70;178;37.9;40.1;100;1.61;2.8;3.98;1.43
2456;6;Fußball;Nachwuchsleistungszentrum;männlich;17;74.7;181;;;100;1.64;2.87;4.07;1.34
2457;6;Fußball;Nachwuchsleistungszentrum;männlich;18;84.2;184;40.8;43.2;125;;;;1.48
2458;6;Fußball;Nachwuchsleistungszentrum;männlich;18;70.5;184;37;44;97.5;1.62;2.77;3.93;1.38
2459;6;Fußball;Nachwuchsleistungszentrum;männlich;17;76.1;184;39.3;39.7;95;;;;1.25
2460;6;Fußball;Nachwuchsleistungszentrum;männlich;18;74.5;185;48.5;51;140;;;;1.88
2461;6;Fußball;Nachwuchsleistungszentrum;männlich;17;73.6;189;39;41.4;110;1.55;2.74;3.88;1.49
2462;6;Fußball;Nachwuchsleistungszentrum;männlich;18;89.6;191;36;41.4;117.5;;;;1.31
2463;6;Fußball;Nachwuchsleistungszentrum;männlich;17;77.9;176;35.3;36.2;105;1.65;2.87;4.07;1.35
2464;6;Fußball;Nachwuchsleistungszentrum;männlich;17;69.2;177;44.9;48.3;105;1.59;2.8;3.97;1.52
2465;6;Fußball;Nachwuchsleistungszentrum;männlich;18;79.4;179;32;34.5;105;1.66;2.9;4.11;1.32
2466;6;Fußball;Nachwuchsleistungszentrum;männlich;18;78.1;180;46.6;53.8;125;1.58;2.75;3.93;1.6
2467;6;Fußball;Nachwuchsleistungszentrum;männlich;17;72.9;177;;;122.5;1.63;2.87;4.11;1.68
2468;6;Fußball;Nachwuchsleistungszentrum;männlich;17;68.9;178;;;80;1.71;2.97;4.11;1.16
2469;6;Fußball;Nachwuchsleistungszentrum;männlich;17;65;174;34;36.1;90;1.72;3.07;4.35;1.38
2470;6;Fußball;Nachwuchsleistungszentrum;männlich;17;70;174;36.9;39.4;87.5;1.74;3;4.15;1.25
2471;6;Fußball;Nachwuchsleistungszentrum;männlich;17;85.9;193;33.7;38.7;95;1.72;2.92;4.07;1.11
2472;6;Fußball;Nachwuchsleistungszentrum;männlich;16;68.2;180;33.5;35.1;95;1.78;3.06;4.28;1.39
2473;6;Fußball;Nachwuchsleistungszentrum;männlich;17;72.7;186;30.6;34.3;95;1.71;2.98;4.2;1.31
2474;6;Fußball;Nachwuchsleistungszentrum;männlich;17;77.6;181;42.5;43.9;102.5;1.67;2.85;4.01;1.32
2475;6;Fußball;Nachwuchsleistungszentrum;männlich;16;66;182;30.7;35.6;70;1.75;3.03;4.18;1.06
2476;6;Fußball;Nachwuchsleistungszentrum;männlich;16;60.2;172;43.1;45.1;82.5;1.72;2.94;4.08;1.37
2477;6;Fußball;Nachwuchsleistungszentrum;männlich;17;66.4;175;32.1;35.7;87.5;1.72;2.94;4.12;1.32
2478;6;Fußball;Nachwuchsleistungszentrum;männlich;17;84.3;191;42.6;42.2;115;1.63;2.8;3.98;1.36
2479;6;Fußball;Nachwuchsleistungszentrum;männlich;17;76;185;32.5;33.9;65;1.68;2.96;4.17;0.86
2480;6;Fußball;Nachwuchsleistungszentrum;männlich;16;80.9;188;;;95;1.71;3.03;4.25;1.17
2481;6;Fußball;Nachwuchsleistungszentrum;männlich;17;80.2;181;37.7;39;90;1.74;2.95;4.13;1.12
2482;6;Fußball;Nachwuchsleistungszentrum;männlich;17;67.6;180;30.1;33.9;95;1.74;2.98;4.13;1.41
2483;6;Fußball;Nachwuchsleistungszentrum;männlich;17;68.5;173;32.2;34.4;85;1.85;3.16;4.41;1.24
