Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
512;3;Fußball;Nachwuchsleistungszentrum;männlich;15;65.7;177;33.8;37.4;70;1.832;3.153;4.413;1.07
513;3;Fußball;Nachwuchsleistungszentrum;männlich;16;62.3;172;29.7;34.1;60;1.776;3.132;4.4;0.96
514;3;Fußball;Nachwuchsleistungszentrum;männlich;15;74.4;172;29.7;32.4;65;1.913;3.255;4.52;0.87
515;3;Fußball;Nachwuchsleistungszentrum;männlich;16;79.8;186;41.3;44.1;80;1.728;3.005;4.201;1
516;3;Fußball;Nachwuchsleistungszentrum;männlich;15;69.3;178;40;40;90;1.717;3;4.191;1.3
517;3;Fußball;Nachwuchsleistungszentrum;männlich;17;79.9;171;32.9;37.6;85;1.821;3.165;4.468;1.06
518;3;Fußball;Nachwuchsleistungszentrum;männlich;16;63.3;166;38;42.8;80;1.721;2.949;4.134;1.26
519;3;Fußball;Nachwuchsleistungszentrum;männlich;16;67.2;179;33.3;33.9;60;1.82;3.149;4.438;0.89
520;3;Fußball;Nachwuchsleistungszentrum;männlich;15;58.6;159;29.1;30;65;1.784;3.079;4.493;1.11
522;3;Fußball;Nachwuchsleistungszentrum;männlich;15;70.7;180;32.5;37.5;50;1.81;3.094;4.272;0.71
523;3;Fußball;Nachwuchsleistungszentrum;männlich;17;71.9;173;37.5;34.4;100;1.766;3.029;4.224;1.39
524;3;Fußball;Nachwuchsleistungszentrum;männlich;18;93;188;39.1;41.3;100;1.762;3.023;4.179;1.08
525;3;Fußball;Nachwuchsleistungszentrum;männlich;17;82.6;183;31.4;33.2;70;1.802;3.095;4.309;0.85
526;3;Fußball;Nachwuchsleistungszentrum;männlich;16;88.4;184;32.4;35.1;75;1.866;3.188;4.431;0.85
528;3;Fußball;Nachwuchsleistungszentrum;männlich;18;67.4;178;30;34.6;80;1.764;3.028;4.217;1.19
529;3;Fußball;Nachwuchsleistungszentrum;männlich;17;76.7;184;37.8;38.9;110;1.783;3.039;4.214;1.43
530;3;Fußball;Nachwuchsleistungszentrum;männlich;18;66.2;173;35.1;43.4;75;1.688;2.932;4.105;1.13
531;3;Fußball;Nachwuchsleistungszentrum;männlich;17;77.3;179;34.6;36.3;90;1.75;3.018;4.193;1.16
533;3;Fußball;Nachwuchsleistungszentrum;männlich;18;67.9;169;40.8;46.2;90;1.678;2.872;3.956;1.33
534;3;Fußball;Nachwuchsleistungszentrum;männlich;18;66.1;177;33;34.8;65;1.81;3.106;4.308;0.98
536;3;Fußball;Nachwuchsleistungszentrum;männlich;17;60.1;173;32.3;36;70;1.756;3.022;4.196;1.16
1678;4;Fußball;Nachwuchsleistungszentrum;männlich;17;63;185;41.2;45.4;80;1.85;3.2;4.5;1.27
1679;4;Fußball;Nachwuchsleistungszentrum;männlich;15;63;176;50.6;48.3;120;1.63;2.81;3.93;1.9
1680;4;Fußball;Nachwuchsleistungszentrum;männlich;17;82;187;30.7;35;80;1.86;3.19;4.44;0.98
1681;4;Fußball;Nachwuchsleistungszentrum;männlich;17;81;182;33.9;40.8;105;1.72;2.96;4.16;1.3
1682;4;Fußball;Nachwuchsleistungszentrum;männlich;16;66.5;181.5;42.2;48.6;105;1.72;2.95;4.09;1.58
1683;4;Fußball;Nachwuchsleistungszentrum;männlich;16;62;186;42.9;43.9;80;1.73;3.01;4.18;1.29
1684;4;Fußball;Nachwuchsleistungszentrum;männlich;17;69.5;179;36;38.2;100;;;;1.44
1685;4;Fußball;Nachwuchsleistungszentrum;männlich;17;79.5;183.5;38.5;36.5;100;1.83;3.03;4.1;1.26
1686;4;Fußball;Nachwuchsleistungszentrum;männlich;16;76;186;34.4;37.4;105;;;;1.38
1687;4;Fußball;Nachwuchsleistungszentrum;männlich;16;75;184;34;37.3;95;1.68;2.91;4.02;1.27
1688;4;Fußball;Nachwuchsleistungszentrum;männlich;16;69.5;192;35;34.2;85;1.84;3.12;4.31;1.22
1689;4;Fußball;Nachwuchsleistungszentrum;männlich;16;58;179.5;42.2;47.1;100;;;;1.72
1690;4;Fußball;Nachwuchsleistungszentrum;männlich;17;58;176;35.6;39.8;85;1.77;2.99;4.16;1.47
1691;4;Fußball;Nachwuchsleistungszentrum;männlich;16;69.5;186.5;40.9;41.6;95;1.66;2.85;3.98;1.37
1692;4;Fußball;Nachwuchsleistungszentrum;männlich;16;68;186.5;45.3;45.3;90;1.71;2.96;4.11;1.32
1693;4;Fußball;Nachwuchsleistungszentrum;männlich;16;78.5;191;35.7;36.2;90;1.77;2.99;4.14;1.15
1694;4;Fußball;Nachwuchsleistungszentrum;männlich;17;61;180;34;37.2;80;1.72;2.96;4.12;1.31
1695;4;Fußball;Nachwuchsleistungszentrum;männlich;16;69;182;43.2;52.4;120;1.69;2.86;4;1.74
1696;4;Fußball;Nachwuchsleistungszentrum;männlich;16;66;179;39.7;40.1;95;1.74;2.98;4.17;1.44
1697;4;Fußball;Nachwuchsleistungszentrum;männlich;16;65.5;177.5;26.6;29.4;75;1.75;3;4.21;1.15
1698;4;Fußball;Nachwuchsleistungszentrum;männlich;17;64;172;38.5;40.5;90;1.72;2.96;4.13;1.41
1699;4;Fußball;Nachwuchsleistungszentrum;männlich;17;79;188;37.2;37.9;90;1.77;2.96;4.11;1.14
